"GEOID","NAME","variable","estimate","moe","source","year","quintile","county","county_short","acs_release","pce_estimate","cty_rate","eff_rate","pop_est","incidence_avg","est_PCE_cty_agg","est_taxable_spend","est_tax_rev","taxable_trans_total","percap_taxable_total","est_tax_spend_trans","est_tax_rev_trans"
"06073","San Diego County, California","B19013_001",61794,701,"ACS",2007,"q4","San Diego","San Diego",NA,0.167206145155947,0.0722269802928782,0.0725,2998477,0.259,185287887738,30981273452.7589,2237683827.12069,NA,NA,NA,NA
"06075","San Francisco County, California","B19013_001",68023,3283,"ACS",2007,"q4","San Francisco","San Francisco",NA,0.167206145155947,0.0746482516119943,0.0725,787127,0.259,53542739921,8952675143.27786,668301546.695853,NA,NA,NA,NA
"06077","San Joaquin County, California","B19013_001",52470,2241,"ACS",2007,"q2","San Joaquin","San Joaquin",NA,0.113190473342816,0.0727193562215035,0.0725,665304,0.18,34908500880,3951309738.2953,287336700.400591,NA,NA,NA,NA
"06079","San Luis Obispo County, California","B19013_001",56952,3343,"ACS",2007,"q3","San Luis Obispo","San Luis Obispo",NA,0.127703373163983,0.0739972494177037,0.0725,262982,0.2,14977350864,1912658226.3933,141531447.829247,NA,NA,NA,NA
"06081","San Mateo County, California","B19013_001",83109,2440,"ACS",2007,"q5","San Mateo","San Mateo",NA,0.22462041303302,0.0838242825410435,0.0725,701838,0.342,58329054342,13101896278.1255,1098257055.44104,NA,NA,NA,NA
"06083","Santa Barbara County, California","B19013_001",58401,3144,"ACS",2007,"q3","Santa Barbara","Santa Barbara",NA,0.127703373163983,0.075130475459617,0.0725,414750,0.2,24221814750,3093207447.72812,232394146.243042,NA,NA,NA,NA
"06085","Santa Clara County, California","B19013_001",84360,1608,"ACS",2007,"q5","Santa Clara","Santa Clara",NA,0.22462041303302,0.0798562691663195,0.0725,1725066,0.342,145526567760,32688237757.529,2610360712.93788,NA,NA,NA,NA
"06087","Santa Cruz County, California","B19013_001",63778,3840,"ACS",2007,"q4","Santa Cruz","Santa Cruz",NA,0.167206145155947,0.0836754820394913,0.0725,256543,0.259,16361799454,2735793414.51802,228918832.720261,NA,NA,NA,NA
"06089","Shasta County, California","B19013_001",41901,2736,"ACS",2007,"q1","Shasta","Shasta",NA,0.196359490048417,0.0637982150404835,0.0725,175546,0.293,7355552946,1444332625.50069,92145843.4316793,NA,NA,NA,NA
"06095","Solano County, California","B19013_001",66880,1949,"ACS",2007,"q4","Solano","Solano",NA,0.167206145155947,0.075299253806285,0.0725,411998,0.259,27554426240,4607269393.57428,346923947.420679,NA,NA,NA,NA
"06097","Sonoma County, California","B19013_001",62399,2417,"ACS",2007,"q4","Sonoma","Sonoma",NA,0.167206145155947,0.0861926905240818,0.0725,471479,0.259,29419818121,4919174379.2015,423996874.900507,NA,NA,NA,NA
"06099","Stanislaus County, California","B19013_001",50616,1455,"ACS",2007,"q2","Stanislaus","Stanislaus",NA,0.113190473342816,0.0709158390313946,0.0725,505959,0.18,25609620744,2898765094.14335,205568358.806095,NA,NA,NA,NA
"06101","Sutter County, California","B19013_001",51382,4282,"ACS",2007,"q2","Sutter","Sutter",NA,0.113190473342816,0.0624962106519022,0.0725,91563,0.18,4704690066,532526095.501783,33280863.0421144,NA,NA,NA,NA
"06107","Tulare County, California","B19013_001",40595,1392,"ACS",2007,"q1","Tulare","Tulare",NA,0.196359490048417,0.0747446963815189,0.0725,419842,0.293,17043485990,3346650217.64374,250144354.412926,NA,NA,NA,NA
"06111","Ventura County, California","B19013_001",73250,2186,"ACS",2007,"q5","Ventura","Ventura",NA,0.22462041303302,0.06754640949246,0.0725,803572,0.342,58861649000,13221527910.1846,893066738.337321,NA,NA,NA,NA
"06113","Yolo County, California","B19013_001",59384,4645,"ACS",2007,"q4","Yolo","Yolo",NA,0.167206145155947,0.0729122457605526,0.0725,192826,0.259,11450779184,1914640646.3886,139600749.352629,NA,NA,NA,NA
